"from" "to" "factor" "value" "x.to" "y.to" "x.end" "y.end" "x.from" "y.from"
"1" "01SS1N391PI" "01SS3N727PI" 1 1 442343.91145474 5059699.88401931 0 0 436896.798229167 5056084.80016759
"2" "01SS1N426PI" "01SS3N758PI" 1 1 377260.21413415 5014818.45057842 0 0 373157.582455819 5014689.51191549
"3" "01SS1N473PI" "01SS3N758PI" 1 1 377260.21413415 5014818.45057842 0 0 371596.901202108 5015897.55232306
"4" "01SS1N503PI" "01SS3N347PI" 1 1 383584.428111674 5030092.76953091 0 0 384132.939701726 5031771.40898177
"5" "01SS1N518PI" "01SS3N727PI" 1 1 442343.91145474 5059699.88401931 0 0 439739.792358984 5060717.93658532
"6" "01SS1N647PI" "01SS3N347PI" 1 1 383584.428111674 5030092.76953091 0 0 377772.959813652 5028602.25706182
"7" "01SS1N652PI" "01SS3N347PI" 1 1 383584.428111674 5030092.76953091 0 0 380235.916786341 5027129.04841752
"8" "01SS1N725PI" "01SS2N726PI" 1 1 431065.856672329 5061638.28626421 0 0 426333.571063474 5059946.33505932
"9" "01SS1N742PI" "06SS2D748PI" 1 1 435672.518566242 5048508.48733474 0 0 429178.753038097 5054411.31746202
"10" "01SS1N840PI" "01SS2N182PI" 1 1 420813.346683221 5045888.38933631 0 0 416346.781564383 5047774.37810288
"11" "01SS1N858PI" "01SS2N346PI" 1 1 369313.523154802 5033091.41934406 0 0 364589.341119728 5035679.31543391
"12" "01SS1N862PI" "01SS2N346PI" 1 1 369313.523154802 5033091.41934406 0 0 368372.460650822 5036827.03038609
"13" "01SS1N925PI" "01SS3N727PI" 1 1 442343.91145474 5059699.88401931 0 0 441404.067444667 5062358.41537837
"14" "01SS1N940PI" "01SS2N747PI" 1 1 446700.267096544 5064611.38503851 0 0 444412.838507228 5064258.58248384
"15" "01SS1N960PI" "01SS2N747PI" 1 1 446700.267096544 5064611.38503851 0 0 445983.643267467 5065531.03510519
"16" "01GH1N345PI" "01SS2N346PI" 1 1 369313.523154802 5033091.41934406 0 0 358388.030252978 5034271.19716933
"17" "01GH1N719PI" "01SS2N720PI" 1 1 424597.096648843 5072590.2623208 0 0 415943.863519961 5080556.02833133
"18" "01GH4N166PI" "01SS1N125PI" 1 2 410367.547545307 5048225.69199511 0 0 408083.326754661 5045006.86346415
"19" "01GH4N166PI" "06GH4F167PI" 1 2 414140.514358673 5030762.50822198 0 0 408083.326754661 5045006.86346415
"20" "01SS1N004PI" "01SS2N005PI" 1 1 457225.443907602 5070611.81034856 0 0 459195.413748299 5076159.76278943
"21" "01SS1N104PI" "01SS2N105PI" 1 1 421571.142951228 5058011.18039508 0 0 417153.087096483 5060129.19875542
"22" "01SS1N122PI" "01SS2N123PI" 1 1 401480.406844959 5039084.54480939 0 0 393822.87588084 5045029.68067956
"23" "01SS1N125PI" "01GH4N166PI" 1 1 408083.326754661 5045006.86346415 0 0 410367.547545307 5048225.69199511
"24" "01SS1N175PI" "01SS3N721PI" 1 1 441009.859764055 5069909.17584702 0 0 440379.266221097 5069587.03872784
"25" "01SS1N181PI" "01SS2N182PI" 1 1 420813.346683221 5045888.38933631 0 0 416135.613425198 5051930.10094332
"26" "01SS1N293PI" "01SS2N294PI" 1 1 390027.145974225 5017989.29849329 0 0 383234.349735412 5022316.94363986
"27" "01SS1N302PI" "01SS2N303PI" 1 1 439588.414557452 5079505.36986207 0 0 431842.182199543 5085259.82737462
"28" "01SS1N360PI" "01SS3N721PI" 1 1 441009.859764055 5069909.17584702 0 0 445164.416008156 5072548.95763022
"29" "01SS1N966PI" "06SS3F348PI" 1 1 399500.795936864 5021908.56376987 0 0 391890.711117224 5030862.76159224
"30" "01SS2N005PI" "01SS1N004PI" 1 2 459195.413748299 5076159.76278943 0 0 457225.443907602 5070611.81034856
"31" "01SS2N005PI" "06SS2F006PI" 1 2 458923.676777141 5058952.14788098 0 0 457225.443907602 5070611.81034856
"32" "01SS2N026PI" "01SS2N720PI" 1 1 424597.096648843 5072590.2623208 0 0 420349.19703718 5071886.13136743
"33" "01SS2N082PI" "01SS2N732PI" 1 1 388244.946598989 5036094.90621017 0 0 384401.949767068 5045298.17754014
"34" "01SS2N718PI" "01SS2N720PI" 1 3 424597.096648843 5072590.2623208 0 0 426692.006103859 5078439.31509504
"35" "01SS2N718PI" "01SS3N721PI" 1 3 441009.859764055 5069909.17584702 0 0 426692.006103859 5078439.31509504
"36" "01SS2N718PI" "01SS2N176PI" 1 3 427398.549826367 5082916.58853627 0 0 426692.006103859 5078439.31509504
"37" "01SS2N720PI" "01GH1N719PI" 1 6 415943.863519961 5080556.02833133 0 0 424597.096648843 5072590.2623208
"38" "01SS2N720PI" "01SS2N026PI" 1 6 420349.19703718 5071886.13136743 0 0 424597.096648843 5072590.2623208
"39" "01SS2N720PI" "01SS2N718PI" 1 6 426692.006103859 5078439.31509504 0 0 424597.096648843 5072590.2623208
"40" "01SS2N720PI" "01SS2N734PI" 1 6 422016.355642911 5066712.46557684 0 0 424597.096648843 5072590.2623208
