"X" "Y"
"1" 436896.798229167 5056084.80016759
"2" 373157.582455819 5014689.51191549
"3" 371596.901202108 5015897.55232306
"4" 384132.939701726 5031771.40898177
"5" 439739.792358984 5060717.93658532
"6" 377772.959813652 5028602.25706182
"7" 380235.916786341 5027129.04841752
"8" 426333.571063474 5059946.33505932
"9" 429178.753038097 5054411.31746202
"10" 416346.781564383 5047774.37810288
"11" 364589.341119728 5035679.31543391
"12" 368372.460650822 5036827.03038609
"13" 441404.067444667 5062358.41537837
"14" 444412.838507228 5064258.58248384
"15" 445983.643267467 5065531.03510519
"16" 358388.030252978 5034271.19716933
"17" 415943.863519961 5080556.02833133
"18" 408083.326754661 5045006.86346415
"19" 459195.413748299 5076159.76278943
"20" 417153.087096483 5060129.19875542
"21" 393822.87588084 5045029.68067956
"22" 410367.547545307 5048225.69199511
"23" 440379.266221097 5069587.03872784
"24" 416135.613425198 5051930.10094332
"25" 383234.349735412 5022316.94363986
"26" 431842.182199543 5085259.82737462
"27" 445164.416008156 5072548.95763022
"28" 391890.711117224 5030862.76159224
"29" 457225.443907602 5070611.81034856
"30" 420349.19703718 5071886.13136743
"31" 384401.949767068 5045298.17754014
"32" 426692.006103859 5078439.31509504
"33" 424597.096648843 5072590.2623208
"34" 431065.856672329 5061638.28626421
"35" 422016.355642911 5066712.46557684
"36" 438562.624227433 5064075.34975818
"37" 446700.267096544 5064611.38503851
"38" 366075.502093945 5018833.03698849
"39" 367532.356919493 5023331.92663787
"40" 366702.149061659 5010190.13274504
"41" 391775.894082705 5019425.3268227
"42" 396450.002772338 5032073.76299857
"43" 379056.857511161 5018735.18747568
"44" 438175.608123812 5080567.6278462
"45" 391401.90200242 5020992.07480855
"46" 416368.311021304 5042783.27197736
"47" 415904.115636984 5071980.65875882
"48" 383584.428111674 5030092.76953091
"49" 441009.859764055 5069909.17584702
"50" 421571.142951228 5058011.18039508
"51" 425990.104335655 5050002.15024321
"52" 401480.406844959 5039084.54480939
"53" 427398.549826367 5082916.58853627
"54" 420813.346683221 5045888.38933631
"55" 378100.406921025 5034018.06068776
"56" 382358.739989123 5040982.11397926
"57" 392319.750687874 5025480.99308
"58" 419017.815371338 5042049.96011286
"59" 390027.145974225 5017989.29849329
"60" 439588.414557452 5079505.36986207
"61" 369313.523154802 5033091.41934406
"62" 422051.278928032 5051199.77930563
"63" 373321.271778521 5036876.34404926
"64" 369472.775525648 5012333.84480753
"65" 398870.062209049 5036355.68953147
"66" 328176.867408404 4981391.79573349
"67" 324664.048832501 4983581.98489721
"68" 332338.303559754 4994772.98606291
"69" 348212.945676513 5002557.72158727
"70" 346415.290347361 4997727.60453301
"71" 337320.149698111 5002689.69090655
"72" 371743.577721175 4912134.12683184
"73" 335094.420465883 4997336.71757715
"74" 419513.936771833 4916230.2593306
"75" 352964.531335479 4924539.82866315
"76" 361934.366774544 4970160.02519055
"77" 359457.449766358 4973335.9187743
"78" 368044.067447167 4925950.29675574
"79" 359272.161355962 4987004.06603854
"80" 336171.285368357 4917680.28399675
"81" 334554.019188639 4981332.54399409
"82" 364803.285106395 4986856.2223694
"83" 349883.555600106 4983257.23940859
"84" 358440.653214181 4904540.53594683
"85" 341992.818110492 4995870.86515428
"86" 356544.905587095 4968148.31937844
"87" 379752.002387749 4943618.30971375
"88" 392007.606759967 4912012.4002168
"89" 376124.476817036 4943166.1405001
"90" 414184.543480604 4905511.76100365
"91" 344753.538826742 5005502.8078859
"92" 343133.773054182 4987862.49455833
"93" 388441.99812049 4911333.41736189
"94" 442343.91145474 5059699.88401931
"95" 377260.21413415 5014818.45057842
"96" 340828.299366698 4990979.29569007
"97" 351035.103635742 4931270.58106487
"98" 354662.871728749 4923499.26940458
"99" 358274.01652205 4939693.58162176
"100" 371319.598237313 4982266.80762162
"101" 338334.230443527 4978926.83781393
"102" 340472.015398485 5000774.91823078
"103" 386155.876795875 4901848.25449927
"104" 358649.245195002 4982024.71695402
"105" 406586.676242221 4894524.79771887
"106" 356863.695178839 4939996.06454544
"107" 399053.672678512 4893955.32466496
"108" 407708.606707267 4913149.01146455
"109" 396186.094536127 4910004.2102202
